"Abyssal Cry",Клич преисподней
"Word of Blades",Слово клинков
"Edict of Blades",Эдикт клинков
"Decree of Blades",Указ клинков
"Commandment of Blades",Приказ клинков
"Word of Flames",Слово огня
"Edict of Flames",Эдикт огня
"Decree of Flames",Указ огня
"Commandment of Flames",Приказ огня
"Word of Force",Слово силы
"Edict of Force",Эдикт силы
"Decree of Force",Указ силы
"Commandment of Force",Приказ силы
"Word of Frost",Слово холода
"Edict of Frost",Эдикт холода
"Decree of Frost",Указ холода
"Commandment of Frost",Приказ холода
"Word of Fury",Слово ярости
"Edict of Fury",Эдикт ярости
"Decree of Fury",Указ ярости
"Commandment of Fury",Приказ ярости
"Word of Inferno",Слово ада
"Edict of Inferno",Эдикт ада
"Decree of Inferno",Указ ада
"Commandment of Inferno",Приказ ада
"Word of Ire",Слово гнева
"Edict of Ire",Эдикт гнева
"Decree of Ire",Указ гнева
"Commandment of Ire",Приказ гнева
"Word of Light",Слово света
"Edict of Light",Эдикт света
"Decree of Light",Указ света
"Commandment of Light",Приказ света
"Word of Reflection",Слово отражения
"Edict of Reflection",Эдикт отражения
"Decree of Reflection",Указ отражения
"Commandment of Reflection",Приказ отражения
"Word of Spite",Слово злобы
"Edict of Spite",Эдикт злобы
"Decree of Spite",Указ злобы
"Commandment of Spite",Приказ злобы
"Word of the Tempest",Слово бури
"Edict of the Tempest",Эдикт бури
"Decree of the Tempest",Указ бури
"Commandment of the Tempest",Приказ бури
"Word of the Grave",Слово смерти
"Edict of the Grave",Эдикт смерти
"Decree of the Grave",Указ смерти
"Commandment of the Grave",Приказ смерти
"Word of Thunder",Слово грома
"Edict of Thunder",Эдикт грома
"Decree of Thunder",Указ грома
"Commandment of Thunder",Приказ грома
"Word of War",Слово войны
"Edict of War",Эдикт войны
"Decree of War",Указ войны
"Commandment of War",Приказ войны
"Word of Winter",Слово зимы
"Edict of Winter",Эдикт зимы
"Decree of Winter",Указ зимы
"Default Attack",Атака
Mortar,Метание
"Abberath's Fury",Ярость Абберата
"Aspect of the Avian",Дух птицы
"Aspect of the Cat",Дух кошки
"Aspect of the Crab",Дух краба
"Aspect of the Spider",Дух паука
"Bone Nova",Кольцо костей
"Cold Aegis",Ледяная эгида
Consecrate,Освящени
"Create Lesser Shrine",Создание малого алтаря
"Death Walk",Шаг смерти
"Doryani's Touch",Касание Дориани
"Elemental Aegis",Стихийная эгида
"Elemental Warding",Стихийная защита
"Fire Aegis",Огненная эгида
"Fire Burst",Огненный взрыв
Icestorm,Ледяной шторм
"Icicle Burst",Взрыв сосулек
"Illusory Warp",Ледяной переход
"Lightning Aegis",Эгида молний
"Lightning Bolt",Удар грома
"Manifest Dancing Dervish",Проявление Танцующих дервишей
"Molten Burst","Взрыв лавы"
"Raise Spiders",Призыв пауков
"Shade Form",Форма тени
"Shock Ground",Заряженная земля
"Spirit Burst",Взрыв душ
"Storm Cascade",Грозовой каскад
"Summon Bestial Rhoa",Призыв дикого роа
"Summon Bestial Snake",Призыв дикой змеи
"Summon Bestial Ursa",Призыв дикого медведя
"Spectral Spirits","Призрачные духи"
"Summon Harbinger of the Arcane",Призыв Предвестника колдовства
"Summon Harbinger of Brutality",Призыв Предвестника жестокости
"Summon Harbinger of Directions",Призыв Великого Предвестника направлений
"Summon Harbinger of Focus",Призыв Предвестника концентрации
"Summon Harbinger of Storms",Призыв Предвестника бурь
"Summon Harbinger of Time",Призыв Предвестника времени
"Summon Spectral Wolf",Призыв призрачного волка
"Tentacle Whip",Удар щупальцами
"Bone Mortar",Костяная мортира
Plague,Чума
"Rune Blast",Рунический взрыв
"Feast of Flesh",Пир плоти
"Call of Steel",Зов стали
Combust,Сожжение
Brandsurge,Перегрузка клейм
"Embrace Madness",Объятия безумия
"Fog of War",Туман войны
"Stalking Pustule",Преследующая пустула
"Tawhoa's Chosen",Избранник Тахоа
"Physical Aegis",Физическая эгида
"Corpse Walk",Трупный шаг
"Death Wish",Смертельное желание
"Animate Guardian's Weapon",Оружие Аниматрона
Reflection,Отражение
"Unseen Strike",Скрытный удар
"Summon Greater Harbinger of the Arcane",Призыв Великого Предвестника колдовства
"Summon Greater Harbinger of Brutality",Призыв Великого Предвестника жестокости
"Summon Greater Harbinger of Directions",Призыв Великого Великого Предвестника направлений
"Summon Greater Harbinger of Focus",Призыв Великого Предвестника концентрации
"Summon Greater Harbinger of Storms",Призыв Великого Предвестника бурь
"Summon Greater Harbinger of Time",Призыв Великого Предвестника времени
"Summon Taunting Contraption",Призыв провоцирующего устройства
"Shield Shatter",Раскол щита
"Void Gaze",Взгляд пустоты
"Signal Prey",Выбрать жертву
"Doom Blast",Роковой взрыв
"Void Shot",Выстрел пустоты
"Arcane Wake",Колдовская волна
"Atlas Riftwalk",Мироход Атласа
"Barrel Explosion",Взрыв бочки
"Bleed Nova",Кольцо кровотечения
"Commandment of Winter",Приказ зимы
"Consume Bones",Поглощение костей
Contaminate,Заражение
"Curse Consume",Поглощение проклятий
"Curse Transfer",Передача проклятий
"Damage On Movement Skill Use Aura",Получите ауру урона при использовании навыков смещения
"Darktongue's Kiss",Поцелуй Тёмного оратора
"Doom Arrow",Стрела рока
"Empowering Howl",Воодушевляющий рёв
"Face Last Target",Лицом к последней цели
"Fiery Impact",Огненный удар
"FigureHead Incinerate",Испепеление ФигуроГолового
"Fire Elemental Cone",Конус огненного элементаля
"Fire Nova Mine",Мина кольца огня
"Fire Projectile Retaliation",Ответный огненный снаряд
"Flame Breath",Дыхание пламени
"Flask Charge Nova",Кольцо заряда флаконов
"Flicker Thrust",Внезапный выпад
Focus,Фокус
"Freeze Mine",Шквальная мина
"Frost Bolt Channel",Поддержка морозного шара
"Glimpse of Eternity",Проблеск вечности
"Goddess Beam",Луч богини
"Goddess Warp",Переход богини
"Gore Shockwave",Кровавая ударная волна
"Ice Elemental Spear",Копьё ледяного элементаля
Ignite,Поджог
"Inca Boss Freezing Pulse",Волна холода главаря инков
"Increased Damage Taken Aura",Аура увеличения получаемого урона
"Izaro Warp",Переход Изаро
Kill,Убийство
"Lightning Clone Retaliation",Ответный молниевый клон
"Petrification Statue",Оцепеняющая статуя
"Physical Degeneration Aura",Физическая аура вырождения
"Physical Projectile Retaliation",Ответный физический снаряд
"Piety Beam",Луч Веры
"Piety Reverse Cleave",Благочестивое Обратное Рассечение
"Primal Aegis",Первородная эгида
"Rain Of Blades",Дождь клинков
"Range Finder",Дальномер
"Rending Steel (NOT CURRENTLY USED)",Раздирающая сталь（не используется）
"Slow Aura",Аура замедления
"Storm Cloud Lightning Warp",Переход молнии грозовой тучи
"Summon Doedre's Effigy",Призыв образа Доэдре
"Talisman Degen",Проклятие талисмана
"Talisman Summon Lightning Spiral",Талисман призыва спирали молний
Taunt,Провокация
"Thirst for Blood",Жажда крови
Throw,Бросок
"Throw Dynamite",Бросок динамита
"Throw Flare",Бросок флаера
"Touch Of God",Перст божий
Unhinge,Расстройство
Unnamed2,Безымянный
"Vaal Fire Trap",Огненная ловушка ваал
"Vaal Vitality",Живучесть ваал
"Vinktar Lightning Bond",Молниеносная связь Винктара
"Volatile Anomaly",Нестабильная аномалия
"Whirling Leap",Прыжок с кувырком
"Blood Sacrament",Причастие кровью
"Flames of Judgement",Огни Правосудия
"Queen's Demand",Требование царицы
"Storm of Judgement",Шторм Правосудия
"Summon Arbalists",Призыв арбалетчиков
Twister,Смерч
Absolution,Отпущение
"Alchemist's Mark",Метка алхимика
Ambush,Засада
"Ancestral Blademaster",Мастер клинка предков
"Ancestral Cry",Клич предков
"Ancestral Protector",Защитник предков
"Ancestral Warchief",Вождь предков
Anger,Жгучая злоба
"Animate Guardian",Аниматрон
"Animate Weapon",Живое оружие
"Approaching Flames",Надвигающееся пламя
Arc,Цепь молний
"Arcane Cloak",Чародейский покров
"Arcanist Brand",Клеймо чаротворца
"Arctic Armour",Северная броня
"Armageddon Brand",Клеймо Армагеддона
"Artillery Ballista",Артиллерийская баллиста
"Assassin's Mark",Метка убийцы
Backstab,Удар в спину
"Ball Lightning",Шаровая молния
Bane,Погибель
Barrage,Очередь
"Battlemage's Cry",Клич боевого мага
"Bear Trap",Медвежий капкан
Berserk,Боевое безумие
"Blade Blast",Взрыв клинков
"Blade Flurry",Порыв клинков
"Blade Trap",Ловушка лезвий
"Blade Vortex",Вихрь клинков
Bladefall,Мечепад
Bladestorm,Ураган лезвий
"Blast Rain",Дождь взрывов
"Blazing Salvo",Пылающий залп
Blight,Мор
"Blinding Aura",Слепящая аура
"Blink Arrow",Стрела-телепорт
"Blood and Sand",Кровь и песок
"Blood Offering",Подношение крови
"Blood Rage",Кровавый угар
Bodyswap,Обмен телами
"Bone Armour",Костяной доспех
"Bone Offering",Подношение костей
Boneshatter,Дробление костей
"Brand Recall",Возврат клейм
"Burning Arrow",Горящая стрела
"Capture Monster",Поймать монстра
"Caustic Arrow",Едкая стрела
"Chain Hook",Цепной крюк
"Charged Dash",Заряженный рывок
Clarity,Ясность ума
Cleave,Рассечение
"Cobra Lash",Бросок кобры
"Cold Snap",Укус стужи
Conductivity,Проводимость
"Consecrated Path",Освящённый путь
Contagion,Инфекция
"Conversion Trap",Ловушка переманивания
Convocation,Convocation
"Corrupting Fever",Разлагающая лихорадка
"Crackling Lance",Искрящееся копьё
"Creeping Frost",Ползучий мороз
Cremation,Кремация
Cyclone,Вихрь
"Damage Infusion",Вливание урона
"Dark Pact",Тёмный договор
Dash,Рывок
"Death Aura",Аура смерти
"Decoy Totem",Тотем-приманка
"Defiance Banner",Знамя непокорности
Desecrate,Осквернение
Despair,Отчаяние
"Destructive Link",Разрушительная связь
Determination,Решимость
"Detonate Dead",Подрыв трупа
"Detonate Mines",Подрыв мин
"Devouring Totem",Поглощающий тотем
"Direct Ants",Проводник муравьиной колонии
Discharge,Разряд
Discipline,Дисциплина
"Divine Ire",Божественный гнев
"Dominating Blow",Удар власти
"Double Strike",Двойной удар
"Dread Banner",Знамя страха
"Dual Strike",Парный удар
Earthquake,Землетрясение
Earthshatter,Разлом земли
"Elemental Hit",Удар стихии
"Elemental Projectiles",Снаряды стихий
"Elemental Weakness",Уязвимость к стихиям
"Enduring Cry",Клич стойкости
"Energy Blade",Клинок энергии
Enfeeble,Слабость
"Ensnaring Arrow",Стрела ловчего
Envy,Зависть
"Essence Drain",Похищение сущности
"Ethereal Knives",Бесплотные ножи
"Explosive Arrow",Взрывная стрела
"Explosive Concoction",Взрывная смесь
"Explosive Trap",Взрывная ловушка
Exsanguinate,Обескровливание
"Eye of Winter",Око зимы
"Fire Trap",Огненная ловушка
"Fire Weapon",Горящее оружие
Fireball,Огненный шар
Firestorm,Огненный шторм
"Flame Dash",Огненный рывок
"Flame Link",Пламенная связь
"Flame Surge",Выброс пламени
"Flame Wall",Стена пламени
Flameblast,Пламенный взрыв
"Flamethrower Trap",Ловушка-огнемёт
Flammability,Горючесть
"Flammable Shot",Горючий выстрел
"Flesh and Stone",Камень и плоть
"Flesh Offering",Подношение плоти
"Flicker Strike",Внезапный удар
"Forbidden Rite",Запретный ритуал
"Freezing Pulse",Волна холода
Frenzy,Бешенство
"Frost Blades",Ледяные клинки
"Frost Bomb",Морозная бомба
"Frost Shield",Морозный щит
"Frost Wall",Стена льда
Frostbite,Обморожение
Frostblink,Ледяной скачок
Frostbolt,Морозный шар
"Frozen Legion",Замёрзший легион
"Frozen Sweep",Ледяной взмах
"Galvanic Arrow",Электризующая стрела
"Galvanic Field",Электризующее поле
"General's Cry",Клич полководца
"Glacial Cascade",Ледяной каскад
"Glacial Hammer",Леденящий молот
"Gluttony of Elements",Жажда стихий
Grace,Грация
"Ground Slam",Сотрясение
Haste,Спешка
Hatred,Холодная ненависть
"Heavy Strike",Тяжёлый удар
"Herald of Agony",Вестник агонии
"Herald of Ash",Вестник пепла
"Herald of Blood",Вестник крови
"Herald of Ice",Вестник льда
"Herald of Purity",Вестник чистоты
"Herald of Thunder",Вестник грома
Hexblast,Взрыв порчи
"Holy Flame Totem",Тотем священного огня
Hydrosphere,Гидросфера
"Ice Crash",Ледяное сокрушение
"Ice Nova",Кольцо льда
"Ice Shot",Ледяной выстрел
"Ice Spear",Ледяное копьё
"Ice Trap",Ледяная ловушка
Icefire,Обжигающий лед
"Icicle Mine",Шквальная мина
"Immortal Call",Призыв к бессмертию
Incinerate,Испепеление
"Infernal Blow",Удар преисподней
"Infernal Cry",Клич преисподней
"Infernal Sweep",Инфернальный взмах
"Intimidating Cry",Устрашающий клич
"Intuitive Link",Подсознательная связь
"Kinetic Blast",Кинетический взрыв
"Kinetic Bolt",Кинетический заряд
Lacerate,Разрубание
"Lancing Steel",Пронзающая сталь
"Leap Slam",Наскок
"Lightning Arrow",Стрела молнии
"Lightning Conduit",Проводник молнии
"Lightning Spire Trap",Ловушка шпиля молний
"Lightning Strike",Удар молнии
"Lightning Tendrils",Побеги молний
"Lightning Trap",Ловушка молний
"Lightning Warp",Грозовой переход
Malevolence,Злорадство
Manabond,Узы маны
"Manifest Dancing Dervishes","Проявление Танцующих дервишей"
"Mirror Arrow",Стрела-двойник
"Molten Shell",Расплавленный панцирь
"Molten Strike",Магмовый удар
"Orb of Storms",Сфера бурь
"Penance Brand",Клеймо покаяния
Perforate,Пронзающие шипы
"Pestilent Strike",Моровой удар
"Petrified Blood",Окаменелая кровь
"Phase Run",Призрачный бег
"Plague Bearer",Носитель чумы
"Poacher's Mark",Метка браконьера
"Poisonous Concoction",Ядовитая смесь
Polymorph,Превращение
Portal,Портал
"Power Siphon",Перелив энергии
Precision,Точность
Pride,Гордость
"Protective Link",Ограждающая связь
Puncture,Надрез
Punishment,Наказание
"Purifying Flame",Очищающее пламя
"Purity of Elements",Спасение от стихий
"Purity of Fire",Спасение от огня
"Purity of Ice",Спасение от холода
"Purity of Lightning",Спасение от молний
"Pyroclast Mine",Пирокластовая мина
"Rage Vortex",Свирепый вихрь
"Rain of Arrows",Ливень стрел
"Raise Spectre",Сотворение призрака
"Raise Zombie",Поднятие зомби
"Rallying Cry",Клич сплочения
Reap,Кровавая жатва
Reave,Опустошение
Reckoning,Возмездие
"Rejuvenation Totem",Восполняющий тотем
"Righteous Fire",Праведный огонь
"Righteous Lightning",Праведная молния
Riposte,Парирование
Riptide,Прилив
"Rolling Magma",Ползучая магма
"Scorching Ray",Опаляющий луч
"Scourge Arrow",Стрела скверны
"Searing Bond",Обжигающие узы
"Seismic Cry",Seismic Cry
"Seismic Trap",Сейсмическая ловушка
"Shadow Blades",Клинки тени
"Shattering Steel",Shattering Steel
"Shield Charge",Удар щитом
"Shield Crush",Shield Crush
"Shock Nova",Кольцо молний
Shockwave,Ударная волна
"Shockwave Totem",Сотрясающий тотем
"Shrapnel Ballista",Осколочная баллиста
"Siege Ballista",Осадная баллиста
"Sigil of Power",Печать силы
"Siphoning Trap",Ловушка переливания
Smite,Кара
"Smoke Mine",Дымовая мина
Snipe,Точный выстрел
"Sniper's Mark",Метка снайпера
"Soul Link",Духовная связь
Soulrend,Soulrend
Spark,Искра
"Spectral Helix",Призрачная спираль
"Spectral Shield Throw",Бросок призрачного щита
"Spectral Spinning Weapon",Призрачное крутящееся оружие
"Spectral Throw",Призрачный бросок
Spellslinger,Чароплёт
"Spirit Offering",Подношение духа
"Split Arrow",Расколотая стрела
"Splitting Steel",Раскалывающая сталь
"Static Strike",Статичный разряд
"Static Tether",Статичная связь
Steelskin,Стальная кожа
"Storm Brand",Клеймо бури
"Storm Burst",Грозовой взрыв
"Storm Call",Призыв бури
"Storm Rain",Грозовой дождь
Stormbind,Грозовые руны
"Stormblast Mine",Штормовая мина
"Summon Carrion Golem",Summon Carrion Golem
"Summon Chaos Golem",Призыв голема хаоса
"Summon Flame Golem",Призыв голема огня
"Summon Holy Relic",Призыв священной реликвии
"Summon Ice Golem",Призыв голема льда
"Summon Lightning Golem",Summon Lightning Golem
"Summon Phantasm",Summon Phantasm
"Summon Raging Spirit",Призыв неистового духа
"Summon Reaper",Призыв Жнеца
"Summon Skeletons",Summon Skeletons
"Summon Skeletons Channelled",Поддерживаемое Сотворение скелетов
"Summon Skitterbots",Призыв мехаботов
"Summon Stone Golem",Призыв каменного голема
Sunder,Раскол
Sweep,Круговой взмах
"Table Charge",Заряд щита
"Tectonic Slam",Тектонический удар
"Tempest Shield",Щит бури
"Temporal Chains",Путы времени
"Temporal Rift",Временной разрыв
Tornado,Торнадо
"Tornado Shot",Вихрь стрел
"Toxic Rain",Токсичный дождь
Unearth,Unearth
"Vaal Ancestral Warchief",Вождь предков ваал
"Vaal Arc",Цепь молний ваал
"Vaal Blade Flurry",Порыв клинков ваал
"Vaal Blade Vortex",Вихрь клинков ваал
"Vaal Blight",Мор ваал
"Vaal Breach",Разлом ваал
"Vaal Burning Arrow",Горящая стрела ваал
"Vaal Caustic Arrow",Едкая стрела ваал
"Vaal Clarity",Ясность ума ваал
"Vaal Cleave",Рассечение ваал
"Vaal Cold Snap",Укус стужи ваал
"Vaal Cyclone",Вихрь ваал
"Vaal Detonate Dead",Подрыв трупа ваал
"Vaal Discipline",Дисциплина ваал
"Vaal Double Strike",Двойной удар ваал
"Vaal Earthquake",Землетрясение ваал
"Vaal Fireball",Огненный шар ваал
"Vaal Flameblast",Пламенный взрыв ваал
"Vaal Flesh Offering",Подношение плоти ваал
"Vaal Flicker Strike",Внезапный удар ваал
"Vaal Glacial Hammer",Леденящий молот ваал
"Vaal Grace",Грация ваал
"Vaal Ground Slam",Сотрясение ваал
"Vaal Haste",Vaal Haste
"Vaal Heavy Strike",Тяжелый удар ваал
"Vaal Ice Nova",Кольцо льда ваал
"Vaal Immortal Call",Призыв к бессмертию ваал
"Vaal Impurity of Fire",Погибель от огня ваал
"Vaal Impurity of Ice",Погибель от холода ваал
"Vaal Impurity of Lightning",Погибель от молнии ваал
"Vaal Lightning Strike",Удар молнии ваал
"Vaal Lightning Trap",Ловушка молний ваал
"Vaal Lightning Warp",Грозовой переход ваал
"Vaal Molten Shell",Расплавленный панцирь ваал
"Vaal Molten Strike",Магмовый удар ваал
"Vaal Power Siphon",Перелив энергии ваал
"Vaal Rain of Arrows",Ливень стрел ваал
"Vaal Reave",Опустошение ваал
"Vaal Righteous Fire",Праведный огонь ваал
"Vaal Smite",Кара ваал
"Vaal Spark",Искра ваал
"Vaal Spectral Throw",Призрачный бросок ваал
"Vaal Storm Call",Призыв бури ваал
"Vaal Summon Skeletons",Сотворение скелетов ваал
"Vaal Sweep",Круговой взмах ваал
"Vaal Venom Gyre",Круг яда ваал
"Vaal Volcanic Fissure",Вулканический разлом ваал
"Vampiric Link",Иссушающая связь
Vengeance,Отмщение
"Venom Gyre",Круг яда
"Vigilant Strike",Расчётливый удар
"Viper Strike",Удар гадюки
Vitality,Живучесть
"Void Sphere",Void Sphere
"Volatile Dead",Нестабильный труп
"Volcanic Fissure",Вулканический разлом
"Voltaxic Burst",Вольтаксовая вспышка
Vortex,Пурга
Vulnerability,Беззащитность
"Wand Teleport",Жезл-телепорт
"War Banner",Знамя войны
"Warlord's Mark",Метка вождя
"Wave of Conviction",Волна осуждения
"Whirling Blades",Шквал клинков
"Wild Strike",Шальной удар
Wildfire,Степной пожар
"Winter Orb",Зимняя сфера
"Wintertide Brand",Клеймо зимы
Wither,Увядание
"Withering Step",Губительный шаг
Wrath,Грозный гнев
Zealotry,Фанатизм
